nome,classe,bolsa_fonte,tipo_de_ativo,ativo_cancelado,codigo,fechamento_31dez16,fechamento_31dez17,fechamento_31dez18,fechamento_31dez19,fechamento_31dez20,fechamento_31dez21,fechamento_31dez22,valor_mercado_da_empresa_31dez17,valor_mercado_da_empresa_31dez18,valor_mercado_da_empresa_31dez19,valor_mercado_da_empresa_31dez20,valor_mercado_da_empresa_31dez21,valor_mercado_da_empresa_31dez22,patrim_liq_dez_2017,patrim_liq_dez_2018,patrim_liq_dez_2019,patrim_liq_dez_2020,patrim_liq_dez_2021,patrim_liq_dez_2022
Ser Educa,ON,Bovespa,Ação,ativo,SEER3,15.396619351,26.33391128,13.434139296,26.643777565,15.212837013,10.49,4.47,4332999.85,2001620.258,3572023.29,2010630.7672,1350289.1644,573656.3772,1508390,1470543,1308488,1426487,1463077,1237531
Sid Nacional,ON,Bovespa,Ação,ativo,CSNA3,8.2828539678,6.3972641705,6.7484266429,11.539567407,26.076415451,21.313281211,14.55,11372774.933,12200212.595,19473416.258,43956648.322,33529933.835,19294666.929,7027373,8702735,10174544,9913451,20314998,19489467
Simpar,ON,Bovespa,Ação,ativo,SIMH3,1.9946029919,1.8324582052,1.5481495382,6.0812645336,8.1339002549,10.904639633,6.76,1669202.7495,1397860.4378,5534619.1174,7288023.241,9633161.9585,5585045.8264,686788,753145,1347045,1892598,3516078,2881776
Sinqia,ON,Bovespa,Ação,ativo,SQIA3,3.3989555019,6.5876048386,6.2877575883,24.382248753,23.387054926,16.465268828,15.03,299147.25835,291509.51953,1728445.894,1654760.584,1417454.2938,1271231.5684,75607,85350,431461,435528,782659,650306
SLC Agricola,ON,Bovespa,Ação,ativo,SLCE3,4.8425118303,9.8173781736,16.181030788,20.09718668,23.141802277,38.764932378,46.91,2561139.3557,3938195.7069,4637720.2304,5149196.4465,8506452.654,9580202.7247,2513199,2598168,2784677,2940379,3524748,4598797
Smart Fit,ON,Bovespa,Ação,ativo,SMFT3,NA,NA,NA,NA,NA,16,13.59,NA,NA,NA,NA,9379876.624,7967032.7075,390638,1180730,2240452,2446136,4396505,4186386
Sondotecnica,ON,Bovespa,Ação,ativo,SOND3,NA,NA,NA,NA,NA,NA,NA,38100.19,38896,97240,104793.7,87540.31,75725.65,56802,60621,51731,69991,65803,62788
Sondotecnica,PNA,Bovespa,Ação,ativo,SOND5,NA,8.3365823129,NA,NA,36.563127523,30.927410126,31.15,38100.19,38896,97240,104793.7,87540.31,75725.65,56802,60621,51731,69991,65803,62788
Sondotecnica,PNB,Bovespa,Ação,ativo,SOND6,NA,7.6117986808,8.8437835988,28.4657178,29.309120259,NA,NA,38100.19,38896,97240,104793.7,87540.31,75725.65,56802,60621,51731,69991,65803,62788
Springs,ON,Bovespa,Ação,ativo,SGPS3,4.25,10.81,6.9,12.29,7.79,4.91,1.35,540500,345000,614500,389500,245500,67500,1149507,1325042,1386626,1105748,990441,NA
SPturis,ON,Bovespa,Ação,ativo,AHEB3,NA,NA,62.062801625,34.70799812,22.82,27.5,20,NA,564074.99392,262337.85152,194637.51063,234660.97711,170777.46378,87562,40049,27217,3612,-70711,-5685
SPturis,PNA,Bovespa,Ação,ativo,AHEB5,NA,NA,NA,NA,NA,22,NA,NA,564074.99392,262337.85152,194637.51063,234660.97711,170777.46378,87562,40049,27217,3612,-70711,-5685
SPturis,PNB,Bovespa,Ação,ativo,AHEB6,NA,NA,NA,NA,19.61,NA,19.31,NA,564074.99392,262337.85152,194637.51063,234660.97711,170777.46378,87562,40049,27217,3612,-70711,-5685
Statkraft,ON,Bovespa,Ação,ativo,STKF3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779390,1225805,1277849,1321095,2067831,3203974
Sudeste S/A,ON,Bovespa,Ação,ativo,OPSE3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.129,13.413,203.308,78.191,123.296,128.925
Sul 116 Part,ON,Bovespa,Ação,ativo,OPTS3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11854,10956,8329,7738,7294,7373
Suzano Hold,ON,Bovespa,Ação,ativo,NEMO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3940242,4067689,4972852,2023366,4163016,9355545
Suzano Hold,PNA,Bovespa,Ação,ativo,NEMO5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3940242,4067689,4972852,2023366,4163016,9355545
Suzano Hold,PNB,Bovespa,Ação,ativo,NEMO6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3940242,4067689,4972852,2023366,4163016,9355545
Suzano S.A.,ON,Bovespa,Ação,ativo,SUZB3,NA,17.346929504,35.514227832,37.411908702,55.193879421,56.674138913,48.24,20409180.96,41651294.72,53537112.294,78983431.293,81101709.174,63163141.204,11621554,12012007,17972630,7231822,15075467,33061032
Syn Prop Tec,ON,Bovespa,Ação,ativo,SYNE3,2.7558926343,3.4984570342,3.7935332767,11.079733397,6.3918833567,6.5813975379,4.15,1062802.4,1041076.8,4195521.33,2091222.8,1099036.8,633472.6,1161008,1045423,1904027,1627647,1665289,1526455
Taesa,ON,Bovespa,Ação,ativo,TAEE3,NA,4.0759778602,5.4764990849,7.1024216472,8.5959490394,10.416270367,11.19827295,7234529.5,8368498.38,10721761.42,11570738.57,12552550.62,12028425.77,4347552,4572052,4926795,6025904,6684756,6570476
Taesa,PN,Bovespa,Ação,ativo,TAEE4,NA,3.8340567758,4.8977174,7.2545119362,8.5873567851,10.472271478,11.218968483,7234529.5,8368498.38,10721761.42,11570738.57,12552550.62,12028425.77,4347552,4572052,4926795,6025904,6684756,6570476
Taesa,UNT N2,Bovespa,Ação,ativo,TAEE11,10.790342974,12.034198504,15.178189186000001,21.479449976,25.535563136,31.23298071,33.379397659,7234529.5,8368498.38,10721761.42,11570738.57,12552550.62,12028425.77,4347552,4572052,4926795,6025904,6684756,6570476
